variant,case,window_index,time_s,Polar_reference_bpm,V25_bpm,primary_bpm,primary_accepted,fusion_secondary_bpm,fusion_secondary_accepted
early_median,data1,0,4.999995,101.3,,,False,,False
early_median,data1,1,5.999994,101.4,,,False,,False
early_median,data1,2,6.999993,101.4,,,False,,False
early_median,data1,3,7.999992,101.3,,185.0,True,93.0,True
early_median,data1,4,8.999991,101.2,92.0,184.0,True,93.0,True
early_median,data1,5,9.99999,101.2,92.0,183.0,True,93.0,True
early_median,data1,6,10.999989,101.3,93.0,183.0,True,93.0,True
early_median,data1,7,11.999988,101.4,94.0,183.0,True,93.0,True
early_median,data1,8,12.999987,101.5,94.0,184.0,True,93.0,True
early_median,data1,9,13.999986,101.7,94.0,94.0,True,93.0,True
early_median,data1,10,14.999985,101.9,94.0,94.0,True,93.0,True
early_median,data1,11,15.999984,102.2,94.0,94.0,True,93.0,True
early_median,data1,12,16.999983,102.6,93.0,95.0,True,93.0,True
early_median,data1,13,17.999982,103.0,93.0,96.0,True,93.0,True
early_median,data1,14,18.999981,103.4,92.0,95.0,True,93.0,True
early_median,data1,15,19.99998,103.7,92.0,95.0,True,93.0,True
early_median,data1,16,20.999979,103.9,92.0,96.0,True,93.0,True
early_median,data1,17,21.999978,104.1,92.0,91.0,True,93.0,True
early_median,data1,18,22.999977,104.3,92.0,105.0,True,93.0,True
early_median,data1,19,23.999976,104.5,92.0,106.0,True,94.0,True
early_median,data1,20,24.999975,104.7,93.0,109.0,True,95.0,True
early_median,data1,21,25.999974,104.9,94.0,113.0,True,95.0,True
early_median,data1,22,26.999973,105.1,94.0,185.0,True,94.0,True
early_median,data1,23,27.999972,105.4,94.0,186.0,True,93.0,True
early_median,data1,24,28.999971,105.8,94.0,185.0,True,93.0,True
early_median,data1,25,29.99997,106.3,94.0,94.0,True,93.0,True
early_median,data1,26,30.999969,106.9,94.0,95.0,True,94.0,True
early_median,data1,27,31.999968,107.5,94.0,95.0,True,95.0,True
early_median,data1,28,32.999967,108.3,95.0,95.0,True,96.0,True
early_median,data1,29,33.999966,109.1,95.0,95.0,True,96.0,True
early_median,data1,30,34.999965,110.0,95.0,117.0,True,96.0,True
early_median,data1,31,35.999964,110.9,95.0,116.0,True,96.0,True
early_median,data1,32,36.999963,111.7,95.0,115.0,True,96.0,True
early_median,data1,33,37.999962,112.4,95.0,114.0,True,96.0,True
early_median,data1,34,38.999961,112.9,94.0,114.0,True,96.0,True
early_median,data1,35,39.99996,113.3,94.0,96.0,True,96.0,True
early_median,data1,36,40.999959,113.7,94.0,97.0,True,97.0,True
early_median,data1,37,41.999958,114.0,94.0,187.0,True,98.0,True
early_median,data1,38,42.999957,114.3,94.0,187.0,True,100.0,True
early_median,data1,39,43.999956,114.6,94.0,122.0,True,102.0,True
early_median,data1,40,44.999955,114.9,94.0,122.0,True,103.0,True
early_median,data1,41,45.999954,115.2,,,False,,False
early_median,data2,0,4.999995,76.5,,,False,,False
early_median,data2,1,5.999994,77.1,,,False,,False
early_median,data2,2,6.999993,77.8,75.0,102.0,True,81.0,True
early_median,data2,3,7.999992,78.4,76.0,114.0,True,80.0,True
early_median,data2,4,8.999991,79.0,77.0,138.0,True,79.0,True
early_median,data2,5,9.99999,79.5,77.0,79.0,True,78.0,True
early_median,data2,6,10.999989,79.8,77.0,78.0,True,77.0,True
early_median,data2,7,11.999988,80.1,76.0,78.0,True,77.0,True
early_median,data2,8,12.999987,80.2,76.0,76.0,True,77.0,True
early_median,data2,9,13.999986,80.1,76.0,75.0,True,77.0,True
early_median,data2,10,14.999985,79.9,77.0,75.0,True,77.0,True
early_median,data2,11,15.999984,79.6,78.0,74.0,True,77.0,True
early_median,data2,12,16.999983,79.2,79.0,53.0,True,78.0,True
early_median,data2,13,17.999982,78.8,80.0,80.0,True,80.0,True
early_median,data2,14,18.999981,78.4,80.0,81.0,True,81.0,True
early_median,data2,15,19.99998,78.0,80.0,81.0,True,81.0,True
early_median,data2,16,20.999979,77.7,79.0,72.0,True,80.0,True
early_median,data2,17,21.999978,77.5,78.0,74.0,True,79.0,True
early_median,data2,18,22.999977,77.4,78.0,59.0,True,78.0,True
early_median,data2,19,23.999976,77.5,78.0,59.0,True,78.0,True
early_median,data2,20,24.999975,77.5,79.0,58.0,True,79.0,True
early_median,data2,21,25.999974,77.6,80.0,59.0,True,81.0,True
early_median,data2,22,26.999973,77.7,81.0,58.0,True,82.0,True
early_median,data2,23,27.999972,77.9,81.0,57.0,True,82.0,True
early_median,data2,24,28.999971,78.1,81.0,85.0,True,82.0,True
early_median,data2,25,29.99997,78.4,81.0,83.0,True,81.0,True
early_median,data2,26,30.999969,78.7,81.0,134.0,True,80.0,True
early_median,data2,27,31.999968,79.0,81.0,76.0,True,79.0,True
early_median,data2,28,32.999967,79.3,81.0,75.0,True,77.0,True
early_median,data2,29,33.999966,79.5,82.0,75.0,True,76.0,True
early_median,data2,30,34.999965,79.8,84.0,128.0,True,76.0,True
early_median,data2,31,35.999964,80.0,86.0,143.0,True,76.0,True
early_median,data2,32,36.999963,80.2,88.0,143.0,True,92.0,True
early_median,data2,33,37.999962,80.4,90.0,96.0,True,93.0,True
early_median,data2,34,38.999961,80.7,91.0,98.0,True,94.0,True
early_median,data2,35,39.99996,81.0,,,False,,False
early_median,data2,36,40.999959,81.2,,,False,,False
early_median,data3,0,4.999995,103.4,,,False,,False
early_median,data3,1,5.999994,103.1,,,False,,False
early_median,data3,2,6.999993,102.7,,67.0,True,45.0,True
early_median,data3,3,7.999992,102.2,,68.0,True,46.0,True
early_median,data3,4,8.999991,101.6,55.0,72.0,True,48.0,True
early_median,data3,5,9.99999,101.1,54.0,73.0,True,52.0,True
early_median,data3,6,10.999989,100.7,53.0,59.0,True,55.0,True
early_median,data3,7,11.999988,100.4,53.0,60.0,True,57.0,True
early_median,data3,8,12.999987,100.1,53.0,60.0,True,58.0,True
early_median,data3,9,13.999986,100.0,53.0,72.0,True,58.0,True
early_median,data3,10,14.999985,100.0,53.0,75.0,True,56.0,True
early_median,data3,11,15.999984,100.2,52.0,74.0,True,53.0,True
early_median,data3,12,16.999983,100.4,52.0,50.0,True,51.0,True
early_median,data3,13,17.999982,100.7,52.0,49.0,True,49.0,True
early_median,data3,14,18.999981,101.1,53.0,48.0,True,48.0,True
early_median,data3,15,19.99998,101.6,56.0,47.0,True,47.0,True
early_median,data3,16,20.999979,102.2,58.0,47.0,True,46.0,True
early_median,data3,17,21.999978,103.0,60.0,64.0,True,45.0,True
early_median,data3,18,22.999977,104.0,61.0,64.0,True,44.0,True
early_median,data3,19,23.999976,104.9,62.0,67.0,True,43.0,True
early_median,data3,20,24.999975,105.8,62.0,70.0,True,43.0,True
early_median,data3,21,25.999974,106.6,56.0,72.0,True,44.0,True
early_median,data3,22,26.999973,107.4,54.0,72.0,True,46.0,True
early_median,data3,23,27.999972,108.1,53.0,73.0,True,48.0,True
early_median,data3,24,28.999971,108.7,53.0,74.0,True,51.0,True
early_median,data3,25,29.99997,109.2,52.0,101.0,True,55.0,True
early_median,data3,26,30.999969,109.6,51.0,99.0,True,57.0,True
early_median,data3,27,31.999968,109.8,50.0,61.0,True,59.0,True
early_median,data3,28,32.999967,109.8,49.0,61.0,True,61.0,True
early_median,data3,29,33.999966,109.7,49.0,65.0,True,62.0,True
early_median,data3,30,34.999965,109.5,50.0,63.0,True,63.0,True
early_median,data3,31,35.999964,109.2,51.0,48.0,True,85.0,True
early_median,data3,32,36.999963,108.9,53.0,47.0,True,84.0,True
early_median,data3,33,37.999962,108.5,54.0,71.0,True,83.0,True
early_median,data3,34,38.999961,108.1,55.0,74.0,True,82.0,True
early_median,data3,35,39.99996,107.7,56.0,82.0,True,82.0,True
early_median,data3,36,40.999959,107.3,57.0,84.0,True,83.0,True
early_median,data3,37,41.999958,106.9,57.0,96.0,True,84.0,True
early_median,data3,38,42.999957,106.5,57.0,86.0,True,86.0,True
early_median,data3,39,43.999956,106.1,91.0,87.0,True,88.0,True
early_median,data3,40,44.999955,105.6,91.0,73.0,True,89.0,True
early_median,data3,41,45.999954,105.1,91.0,75.0,True,89.0,True
early_median,data3,42,46.999953,104.4,92.0,87.0,True,89.0,True
early_median,data3,43,47.999952,103.6,93.0,55.0,True,55.0,True
early_median,data3,44,48.999951,102.6,94.0,56.0,True,55.0,True
early_median,data3,45,49.99995,101.5,95.0,57.0,True,55.0,True
early_median,data3,46,50.999949,100.2,97.0,57.0,True,55.0,True
early_median,data3,47,51.999948,98.9,99.0,98.0,True,55.0,True
early_median,data3,48,52.999947,97.8,100.0,121.0,True,55.0,True
early_median,data3,49,53.999946,96.8,101.0,80.0,True,55.0,True
early_median,data3,50,54.999945,96.0,101.0,80.0,True,56.0,True
early_median,data3,51,55.999944,95.4,100.0,81.0,True,56.0,True
early_median,data3,52,56.999943,95.2,98.0,83.0,True,56.0,True
early_median,data3,53,57.999942,95.3,96.0,85.0,True,56.0,True
early_median,data3,54,58.999941,95.7,94.0,83.0,True,55.0,True
early_median,data3,55,59.99994,96.1,93.0,92.0,True,54.0,True
early_median,data3,56,60.999939,96.6,92.0,92.0,True,54.0,True
early_median,data3,57,61.999938,97.0,91.0,75.0,True,53.0,True
early_median,data3,58,62.999937,97.2,90.0,72.0,True,51.0,True
early_median,data3,59,63.999936,97.3,89.0,65.0,True,50.0,True
early_median,data3,60,64.999935,97.3,89.0,59.0,True,49.0,True
early_median,data3,61,65.999934,97.2,89.0,60.0,True,48.0,True
early_median,data3,62,66.999933,97.0,90.0,62.0,True,48.0,True
early_median,data3,63,67.999932,96.7,,,False,,False
early_median,data3,64,68.99993099999999,96.4,,,False,,False
early_median,data4,0,4.99995,79.5,,,False,,False
early_median,data4,1,5.99994,79.2,,,False,,False
early_median,data4,2,6.99993,79.0,74.0,76.0,True,74.0,True
early_median,data4,3,7.999919999999999,78.7,74.0,75.0,True,74.0,True
early_median,data4,4,8.99991,78.4,74.0,75.0,True,74.0,True
early_median,data4,5,9.9999,78.2,74.0,74.0,True,74.0,True
early_median,data4,6,10.99989,77.9,74.0,73.0,True,74.0,True
early_median,data4,7,11.99988,77.6,74.0,72.0,True,74.0,True
early_median,data4,8,12.99987,77.2,74.0,73.0,True,74.0,True
early_median,data4,9,13.99986,76.8,75.0,73.0,True,75.0,True
early_median,data4,10,14.99985,76.3,76.0,75.0,True,76.0,True
early_median,data4,11,15.99984,75.9,77.0,78.0,True,77.0,True
early_median,data4,12,16.99983,75.5,78.0,80.0,True,78.0,True
early_median,data4,13,17.99982,75.2,79.0,81.0,True,79.0,True
early_median,data4,14,18.99981,75.0,79.0,82.0,True,79.0,True
early_median,data4,15,19.9998,74.9,79.0,81.0,True,79.0,True
early_median,data4,16,20.99979,75.0,78.0,79.0,True,78.0,True
early_median,data4,17,21.99978,75.2,77.0,77.0,True,77.0,True
early_median,data4,18,22.99977,75.6,76.0,76.0,True,76.0,True
early_median,data4,19,23.99976,76.0,75.0,75.0,True,75.0,True
early_median,data4,20,24.99975,76.5,75.0,75.0,True,75.0,True
early_median,data4,21,25.99974,76.9,75.0,75.0,True,75.0,True
early_median,data4,22,26.99973,77.2,75.0,75.0,True,75.0,True
early_median,data4,23,27.99972,77.4,75.0,76.0,True,75.0,True
early_median,data4,24,28.99971,77.5,75.0,76.0,True,75.0,True
early_median,data4,25,29.9997,77.4,76.0,76.0,True,76.0,True
early_median,data4,26,30.99969,77.3,77.0,77.0,True,77.0,True
early_median,data4,27,31.99968,77.1,78.0,77.0,True,78.0,True
early_median,data4,28,32.99967,76.8,79.0,77.0,True,79.0,True
early_median,data4,29,33.99966,76.5,79.0,78.0,True,79.0,True
early_median,data4,30,34.99965,76.2,79.0,79.0,True,79.0,True
early_median,data4,31,35.99964,76.0,79.0,80.0,True,79.0,True
early_median,data4,32,36.99963,76.0,79.0,80.0,True,79.0,True
early_median,data4,33,37.99962,76.1,79.0,80.0,True,79.0,True
early_median,data4,34,38.99961,76.3,79.0,81.0,True,79.0,True
early_median,data4,35,39.9996,76.6,79.0,80.0,True,79.0,True
early_median,data4,36,40.99959,76.9,78.0,79.0,True,78.0,True
early_median,data4,37,41.99958,77.2,77.0,78.0,True,77.0,True
early_median,data4,38,42.99957,77.5,76.0,76.0,True,76.0,True
early_median,data4,39,43.99956,77.8,75.0,75.0,True,75.0,True
early_median,data4,40,44.99955,78.1,75.0,74.0,True,75.0,True
early_median,data4,41,45.99954,78.3,75.0,74.0,True,75.0,True
early_median,data4,42,46.99953,78.3,75.0,75.0,True,75.0,True
early_median,data4,43,47.99952,78.3,76.0,76.0,True,76.0,True
early_median,data4,44,48.99951,78.1,78.0,78.0,True,78.0,True
early_median,data4,45,49.9995,77.8,80.0,80.0,True,80.0,True
early_median,data4,46,50.99949,77.5,82.0,82.0,True,82.0,True
early_median,data4,47,51.99948,77.2,83.0,83.0,True,83.0,True
early_median,data4,48,52.99947,77.0,,,False,,False
early_median,data4,49,53.99946,76.9,,,False,,False
early_median,data5,0,4.999995,89.8,,,False,,False
early_median,data5,1,5.999994,89.3,,,False,,False
early_median,data5,2,6.999993,88.7,182.0,182.0,True,182.0,True
early_median,data5,3,7.999992,88.1,182.0,181.0,True,182.0,True
early_median,data5,4,8.999991,87.5,182.0,180.0,True,182.0,True
early_median,data5,5,9.99999,86.9,182.0,181.0,True,182.0,True
early_median,data5,6,10.999989,86.5,182.0,181.0,True,182.0,True
early_median,data5,7,11.999988,86.2,182.0,182.0,True,182.0,True
early_median,data5,8,12.999987,86.2,182.0,183.0,True,182.0,True
early_median,data5,9,13.999986,86.5,182.0,183.0,True,182.0,True
early_median,data5,10,14.999985,86.9,97.0,183.0,True,182.0,True
early_median,data5,11,15.999984,87.5,97.0,182.0,True,182.0,True
early_median,data5,12,16.999983,88.3,98.0,182.0,True,182.0,True
early_median,data5,13,17.999982,89.2,98.0,182.0,True,182.0,True
early_median,data5,14,18.999981,90.2,98.0,181.0,True,98.0,True
early_median,data5,15,19.99998,91.3,98.0,179.0,True,98.0,True
early_median,data5,16,20.999979,92.5,98.0,94.0,True,98.0,True
early_median,data5,17,21.999978,93.7,98.0,97.0,True,98.0,True
early_median,data5,18,22.999977,94.7,99.0,94.0,True,98.0,True
early_median,data5,19,23.999976,95.6,100.0,183.0,True,99.0,True
early_median,data5,20,24.999975,96.4,101.0,183.0,True,100.0,True
early_median,data5,21,25.999974,97.1,102.0,183.0,True,101.0,True
early_median,data5,22,26.999973,97.7,102.0,184.0,True,102.0,True
early_median,data5,23,27.999972,98.2,102.0,185.0,True,103.0,True
early_median,data5,24,28.999971,98.6,102.0,185.0,True,104.0,True
early_median,data5,25,29.99997,99.0,186.0,185.0,True,104.0,True
early_median,data5,26,30.999969,99.2,186.0,186.0,True,104.0,True
early_median,data5,27,31.999968,99.4,186.0,186.0,True,104.0,True
early_median,data5,28,32.999967,99.6,186.0,186.0,True,104.0,True
early_median,data5,29,33.999966,99.9,186.0,186.0,True,185.0,True
early_median,data5,30,34.999965,100.2,185.0,185.0,True,185.0,True
early_median,data5,31,35.999964,100.6,185.0,185.0,True,185.0,True
early_median,data5,32,36.999963,101.0,184.0,184.0,True,185.0,True
early_median,data5,33,37.999962,101.5,184.0,184.0,True,184.0,True
early_median,data5,34,38.999961,102.0,184.0,184.0,True,184.0,True
early_median,data5,35,39.99996,102.4,184.0,184.0,True,184.0,True
early_median,data5,36,40.999959,102.8,184.0,184.0,True,184.0,True
early_median,data5,37,41.999958,103.2,184.0,184.0,True,184.0,True
early_median,data5,38,42.999957,103.6,184.0,184.0,True,184.0,True
early_median,data5,39,43.999956,103.9,184.0,184.0,True,184.0,True
early_median,data5,40,44.999955,104.2,184.0,184.0,True,184.0,True
early_median,data5,41,45.999954,104.4,184.0,184.0,True,94.0,True
early_median,data5,42,46.999953,104.7,185.0,185.0,True,94.0,True
early_median,data5,43,47.999952,104.9,185.0,185.0,True,93.0,True
early_median,data5,44,48.999951,105.1,185.0,186.0,True,92.0,True
early_median,data5,45,49.99995,105.4,185.0,186.0,True,92.0,True
early_median,data5,46,50.999949,105.7,185.0,185.0,True,92.0,True
early_median,data5,47,51.999948,105.9,185.0,185.0,True,92.0,True
early_median,data5,48,52.999947,106.2,184.0,184.0,True,93.0,True
early_median,data5,49,53.999946,106.5,184.0,183.0,True,93.0,True
early_median,data5,50,54.999945,106.8,184.0,183.0,True,93.0,True
early_median,data5,51,55.999944,107.2,,,False,,False
early_median,data5,52,56.999943,107.5,,,False,,False
early_median,data6,0,4.999995,115.9,,,False,,False
early_median,data6,1,5.999994,116.5,,,False,,False
early_median,data6,2,6.999993,116.9,,,False,,False
early_median,data6,3,7.999992,117.1,,,False,,False
early_median,data6,4,8.999991,117.1,,,False,,False
early_median,data6,5,9.99999,116.8,,,False,,False
early_median,data6,6,10.999989,116.2,,,False,,False
early_median,data6,7,11.999988,115.5,,,False,,False
early_median,data6,8,12.999987,114.6,,,False,,False
early_median,data6,9,13.999986,113.6,93.0,185.0,True,93.0,True
early_median,data6,10,14.999985,112.5,93.0,186.0,True,93.0,True
early_median,data6,11,15.999984,111.5,93.0,187.0,True,93.0,True
early_median,data6,12,16.999983,110.5,93.0,189.0,True,93.0,True
early_median,data6,13,17.999982,109.6,92.0,188.0,True,92.0,True
early_median,data6,14,18.999981,108.7,91.0,187.0,True,91.0,True
early_median,data6,15,19.99998,107.9,90.0,185.0,True,90.0,True
early_median,data6,16,20.999979,107.3,88.0,184.0,True,88.0,True
early_median,data6,17,21.999978,106.7,83.0,184.0,True,86.0,True
early_median,data6,18,22.999977,106.4,83.0,185.0,True,91.0,True
early_median,data6,19,23.999976,106.3,90.0,187.0,True,92.0,True
early_median,data6,20,24.999975,106.4,92.0,188.0,True,93.0,True
early_median,data6,21,25.999974,106.6,92.0,188.0,True,94.0,True
early_median,data6,22,26.999973,107.0,91.0,189.0,True,94.0,True
early_median,data6,23,27.999972,107.7,90.0,189.0,True,94.0,True
early_median,data6,24,28.999971,108.6,89.0,189.0,True,94.0,True
early_median,data6,25,29.99997,109.7,77.0,188.0,True,94.0,True
early_median,data6,26,30.999969,110.8,79.0,187.0,True,94.0,True
early_median,data6,27,31.999968,112.0,81.0,185.0,True,94.0,True
early_median,data6,28,32.999967,113.1,83.0,184.0,True,94.0,True
early_median,data6,29,33.999966,114.1,86.0,184.0,True,94.0,True
early_median,data6,30,34.999965,115.1,89.0,185.0,True,94.0,True
early_median,data6,31,35.999964,116.0,91.0,187.0,True,94.0,True
early_median,data6,32,36.999963,116.9,93.0,188.0,True,94.0,True
early_median,data6,33,37.999962,117.6,94.0,189.0,True,94.0,True
early_median,data6,34,38.999961,118.3,94.0,189.0,True,94.0,True
early_median,data6,35,39.99996,118.9,94.0,188.0,True,93.0,True
early_median,data6,36,40.999959,119.5,94.0,186.0,True,92.0,True
early_median,data6,37,41.999958,120.0,94.0,185.0,True,92.0,True
early_median,data6,38,42.999957,120.4,94.0,185.0,True,92.0,True
early_median,data6,39,43.999956,120.9,94.0,185.0,True,185.0,True
early_median,data6,40,44.999955,121.3,,,False,,False
early_median,data6,41,45.999954,121.7,,,False,,False
early_median,data6,42,46.999953,122.0,,,False,,False
early_median,data6,43,47.999952,122.3,,,False,,False
early_median,data6,44,48.999951,122.5,,,False,,False
early_median,data6,45,49.99995,122.7,,,False,,False
early_median,data6,46,50.999949,122.8,,,False,,False
early_median,data6,47,51.999948,122.9,,,False,,False
early_median,data6,48,52.999947,123.0,,,False,,False
early_median,data6,49,53.999946,123.0,,,False,,False
early_median,data6,50,54.999945,123.1,,,False,,False
early_median,data6,51,55.999944,123.3,,,False,,False
early_median,data6,52,56.999943,123.6,,,False,,False
early_median,data6,53,57.999942,123.9,,,False,,False
early_median,data6,54,58.999941,124.4,,95.0,True,95.0,True
early_median,data6,55,59.99994,124.9,82.0,95.0,True,95.0,True
early_median,data6,56,60.999939,125.6,81.0,96.0,True,95.0,True
early_median,data6,57,61.999938,126.4,79.0,96.0,True,95.0,True
early_median,data6,58,62.999937,127.3,78.0,96.0,True,96.0,True
early_median,data6,59,63.999936,128.3,77.0,191.0,True,96.0,True
early_median,data6,60,64.999935,129.3,,190.0,True,96.0,True
early_median,data6,61,65.999934,130.3,,,False,,False
early_psd_cluster,data1,0,4.999995,101.3,,,False,,False
early_psd_cluster,data1,1,5.999994,101.4,,,False,,False
early_psd_cluster,data1,2,6.999993,101.4,,,False,,False
early_psd_cluster,data1,3,7.999992,101.3,,185.5,True,94.0,True
early_psd_cluster,data1,4,8.999991,101.2,92.0,184.0,True,94.0,True
early_psd_cluster,data1,5,9.99999,101.2,92.0,183.0,True,94.0,True
early_psd_cluster,data1,6,10.999989,101.3,93.0,183.0,True,94.0,True
early_psd_cluster,data1,7,11.999988,101.4,94.0,183.5,True,94.0,True
early_psd_cluster,data1,8,12.999987,101.5,94.0,185.0,True,94.0,True
early_psd_cluster,data1,9,13.999986,101.7,94.0,93.0,True,94.0,True
early_psd_cluster,data1,10,14.999985,101.9,94.0,93.5,True,94.0,True
early_psd_cluster,data1,11,15.999984,102.2,94.0,94.0,True,94.0,True
early_psd_cluster,data1,12,16.999983,102.6,93.0,95.0,True,95.0,True
early_psd_cluster,data1,13,17.999982,103.0,93.0,96.0,True,95.0,True
early_psd_cluster,data1,14,18.999981,103.4,92.0,95.0,True,95.0,True
early_psd_cluster,data1,15,19.99998,103.7,92.0,94.5,True,95.0,True
early_psd_cluster,data1,16,20.999979,103.9,92.0,94.0,True,95.0,True
early_psd_cluster,data1,17,21.999978,104.1,92.0,,False,54.0,True
early_psd_cluster,data1,18,22.999977,104.3,92.0,,False,54.0,True
early_psd_cluster,data1,19,23.999976,104.5,92.0,,False,55.0,True
early_psd_cluster,data1,20,24.999975,104.7,93.0,,False,56.0,True
early_psd_cluster,data1,21,25.999974,104.9,94.0,,False,58.0,True
early_psd_cluster,data1,22,26.999973,105.1,94.0,,False,59.0,True
early_psd_cluster,data1,23,27.999972,105.4,94.0,186.0,True,59.0,True
early_psd_cluster,data1,24,28.999971,105.8,94.0,186.5,True,59.0,True
early_psd_cluster,data1,25,29.99997,106.3,94.0,,False,,False
early_psd_cluster,data1,26,30.999969,106.9,94.0,,False,,False
early_psd_cluster,data1,27,31.999968,107.5,94.0,,False,,False
early_psd_cluster,data1,28,32.999967,108.3,95.0,,False,,False
early_psd_cluster,data1,29,33.999966,109.1,95.0,,False,,False
early_psd_cluster,data1,30,34.999965,110.0,95.0,,False,,False
early_psd_cluster,data1,31,35.999964,110.9,95.0,,False,,False
early_psd_cluster,data1,32,36.999963,111.7,95.0,,False,,False
early_psd_cluster,data1,33,37.999962,112.4,95.0,,False,,False
early_psd_cluster,data1,34,38.999961,112.9,94.0,,False,,False
early_psd_cluster,data1,35,39.99996,113.3,94.0,,False,,False
early_psd_cluster,data1,36,40.999959,113.7,94.0,,False,,False
early_psd_cluster,data1,37,41.999958,114.0,94.0,,False,,False
early_psd_cluster,data1,38,42.999957,114.3,94.0,187.5,True,188.0,True
early_psd_cluster,data1,39,43.999956,114.6,94.0,,False,,False
early_psd_cluster,data1,40,44.999955,114.9,94.0,,False,,False
early_psd_cluster,data1,41,45.999954,115.2,,,False,,False
early_psd_cluster,data2,0,4.999995,76.5,,,False,,False
early_psd_cluster,data2,1,5.999994,77.1,,,False,,False
early_psd_cluster,data2,2,6.999993,77.8,75.0,,False,,False
early_psd_cluster,data2,3,7.999992,78.4,76.0,,False,,False
early_psd_cluster,data2,4,8.999991,79.0,77.0,,False,,False
early_psd_cluster,data2,5,9.99999,79.5,77.0,,False,,False
early_psd_cluster,data2,6,10.999989,79.8,77.0,78.5,True,77.0,True
early_psd_cluster,data2,7,11.999988,80.1,76.0,77.0,True,77.0,True
early_psd_cluster,data2,8,12.999987,80.2,76.0,76.5,True,77.0,True
early_psd_cluster,data2,9,13.999986,80.1,76.0,,False,77.0,True
early_psd_cluster,data2,10,14.999985,79.9,77.0,75.5,True,77.0,True
early_psd_cluster,data2,11,15.999984,79.6,78.0,75.5,True,77.0,True
early_psd_cluster,data2,12,16.999983,79.2,79.0,63.5,True,78.0,True
early_psd_cluster,data2,13,17.999982,78.8,80.0,80.5,True,79.0,True
early_psd_cluster,data2,14,18.999981,78.4,80.0,81.5,True,80.0,True
early_psd_cluster,data2,15,19.99998,78.0,80.0,81.0,True,80.0,True
early_psd_cluster,data2,16,20.999979,77.7,79.0,76.0,True,80.0,True
early_psd_cluster,data2,17,21.999978,77.5,78.0,75.5,True,79.0,True
early_psd_cluster,data2,18,22.999977,77.4,78.0,,False,79.0,True
early_psd_cluster,data2,19,23.999976,77.5,78.0,,False,79.0,True
early_psd_cluster,data2,20,24.999975,77.5,79.0,,False,80.0,True
early_psd_cluster,data2,21,25.999974,77.6,80.0,,False,81.0,True
early_psd_cluster,data2,22,26.999973,77.7,81.0,,False,82.0,True
early_psd_cluster,data2,23,27.999972,77.9,81.0,,False,82.0,True
early_psd_cluster,data2,24,28.999971,78.1,81.0,,False,82.0,True
early_psd_cluster,data2,25,29.99997,78.4,81.0,72.5,True,81.0,True
early_psd_cluster,data2,26,30.999969,78.7,81.0,,False,80.0,True
early_psd_cluster,data2,27,31.999968,79.0,81.0,,False,78.0,True
early_psd_cluster,data2,28,32.999967,79.3,81.0,,False,77.0,True
early_psd_cluster,data2,29,33.999966,79.5,82.0,,False,76.0,True
early_psd_cluster,data2,30,34.999965,79.8,84.0,,False,75.0,True
early_psd_cluster,data2,31,35.999964,80.0,86.0,,False,96.0,True
early_psd_cluster,data2,32,36.999963,80.2,88.0,,False,96.0,True
early_psd_cluster,data2,33,37.999962,80.4,90.0,,False,96.0,True
early_psd_cluster,data2,34,38.999961,80.7,91.0,125.0,True,96.0,True
early_psd_cluster,data2,35,39.99996,81.0,,,False,,False
early_psd_cluster,data2,36,40.999959,81.2,,,False,,False
early_psd_cluster,data3,0,4.999995,103.4,,,False,,False
early_psd_cluster,data3,1,5.999994,103.1,,,False,,False
early_psd_cluster,data3,2,6.999993,102.7,,,False,,False
early_psd_cluster,data3,3,7.999992,102.2,,,False,,False
early_psd_cluster,data3,4,8.999991,101.6,55.0,,False,,False
early_psd_cluster,data3,5,9.99999,101.1,54.0,,False,,False
early_psd_cluster,data3,6,10.999989,100.7,53.0,,False,,False
early_psd_cluster,data3,7,11.999988,100.4,53.0,58.5,True,59.0,True
early_psd_cluster,data3,8,12.999987,100.1,53.0,57.5,True,59.0,True
early_psd_cluster,data3,9,13.999986,100.0,53.0,73.5,True,58.0,True
early_psd_cluster,data3,10,14.999985,100.0,53.0,,False,57.0,True
early_psd_cluster,data3,11,15.999984,100.2,52.0,,False,55.0,True
early_psd_cluster,data3,12,16.999983,100.4,52.0,88.0,True,52.0,True
early_psd_cluster,data3,13,17.999982,100.7,52.0,89.0,True,48.0,True
early_psd_cluster,data3,14,18.999981,101.1,53.0,47.5,True,47.0,True
early_psd_cluster,data3,15,19.99998,101.6,56.0,46.5,True,46.0,True
early_psd_cluster,data3,16,20.999979,102.2,58.0,46.0,True,46.0,True
early_psd_cluster,data3,17,21.999978,103.0,60.0,78.5,True,45.0,True
early_psd_cluster,data3,18,22.999977,104.0,61.0,,False,44.0,True
early_psd_cluster,data3,19,23.999976,104.9,62.0,,False,43.0,True
early_psd_cluster,data3,20,24.999975,105.8,62.0,,False,43.0,True
early_psd_cluster,data3,21,25.999974,106.6,56.0,,False,43.0,True
early_psd_cluster,data3,22,26.999973,107.4,54.0,,False,44.0,True
early_psd_cluster,data3,23,27.999972,108.1,53.0,,False,45.0,True
early_psd_cluster,data3,24,28.999971,108.7,53.0,,False,45.0,True
early_psd_cluster,data3,25,29.99997,109.2,52.0,100.5,True,60.0,True
early_psd_cluster,data3,26,30.999969,109.6,51.0,80.0,True,60.0,True
